CBSA Title, Population , Clinton , Trump , Vote Difference C-T , Obama 2012 , Romney 2012 , Vote Difference O-R ,Clinton B(W) Obama,Trump B(W) Romney, Land Area Sq Mi , Density/Sq Mi 
"Oxnard-Thousand Oaks-Ventura, CA Total"," 850,536 "," 194,402 "," 132,323 "," 62,079 "," 138,119 "," 123,919 "," 14,200 "," 56,283 "," 8,404 "," 1,843 ", 461 
"McAllen-Edinburg-Mission, TX Total"," 842,304 "," 118,809 "," 48,642 "," 70,167 "," 97,879 "," 39,786 "," 58,093 "," 20,930 "," 8,856 "," 1,571 ", 536 
"El Paso, TX Total"," 838,972 "," 148,167 "," 56,015 "," 92,152 "," 112,652 "," 56,988 "," 55,664 "," 35,515 ", (973)," 5,584 ", 150 
"Allentown-Bethlehem-Easton, PA-NJ Total"," 832,327 "," 173,813 "," 194,027 "," (20,214)"," 170,952 "," 162,738 "," 8,214 "," 2,861 "," 31,289 "," 1,453 ", 573 
"Baton Rouge, LA Total"," 830,480 "," 154,561 "," 202,119 "," (47,558)"," 158,249 "," 203,718 "," (45,469)"," (3,688)"," (1,599)"," 4,027 ", 206 
"Columbia, SC Total"," 810,068 "," 166,891 "," 163,377 "," 3,514 "," 154,286 "," 151,794 "," 2,492 "," 12,605 "," 11,583 "," 3,703 ", 219 
"Dayton, OH Total"," 800,909 "," 164,079 "," 209,528 "," (45,449)"," 175,742 "," 203,521 "," (27,779)"," (11,663)"," 6,007 "," 1,282 ", 625 
"North Port-Sarasota-Bradenton, FL Total"," 768,918 "," 169,094 "," 226,382 "," (57,288)"," 161,565 "," 196,105 "," (34,540)"," 7,529 "," 30,277 "," 1,299 ", 592 
"Greensboro-High Point, NC Total"," 752,157 "," 176,670 "," 174,322 "," 2,348 "," 176,328 "," 173,914 "," 2,414 ", 342 , 408 ," 1,994 ", 377 
"Charleston-North Charleston, SC Total"," 744,526 "," 144,059 "," 155,017 "," (10,958)"," 128,656 "," 145,481 "," (16,825)"," 15,403 "," 9,536 "," 2,588 ", 288 
"Little Rock-North Little Rock-Conway, AR Total"," 731,612 "," 125,545 "," 155,157 "," (29,612)"," 121,748 "," 153,743 "," (31,995)"," 3,797 "," 1,414 "," 4,085 ", 179 
"Stockton-Lodi, CA Total"," 726,106 "," 121,124 "," 88,936 "," 32,188 "," 80,005 "," 66,742 "," 13,263 "," 41,119 "," 22,194 "," 1,391 ", 522 
"Akron, OH Total"," 704,243 "," 166,653 "," 151,997 "," 14,656 "," 185,228 "," 143,165 "," 42,063 "," (18,575)"," 8,832 ", 900 , 782 
"Cape Coral-Fort Myers, FL Total"," 701,982 "," 124,908 "," 191,551 "," (66,643)"," 110,080 "," 154,112 "," (44,032)"," 14,828 "," 37,439 ", 785 , 895 
"Colorado Springs, CO Total"," 697,856 "," 111,613 "," 188,973 "," (77,360)"," 108,883 "," 171,728 "," (62,845)"," 2,730 "," 17,245 "," 2,684 ", 260 
"Boise City, ID Total"," 676,909 "," 95,157 "," 152,679 "," (57,522)"," 100,652 "," 152,229 "," (51,577)"," (5,495)", 450 ," 11,766 ", 58 
"Syracuse, NY Total"," 660,458 "," 141,099 "," 127,273 "," 13,826 "," 147,095 "," 103,921 "," 43,174 "," (5,996)"," 23,352 "," 2,385 ", 277 
"Winston-Salem, NC Total"," 659,330 "," 125,668 "," 176,890 "," (51,222)"," 127,446 "," 170,322 "," (42,876)"," (1,778)"," 6,568 "," 2,009 ", 328 
"Lakeland-Winter Haven, FL Total"," 650,092 "," 117,433 "," 157,430 "," (39,997)"," 114,610 "," 131,566 "," (16,956)"," 2,823 "," 25,864 "," 1,798 ", 362 
"Wichita, KS Total"," 644,610 "," 80,844 "," 137,954 "," (57,110)"," 85,007 "," 139,060 "," (54,053)"," (4,163)"," (1,106)"," 5,012 ", 129 
