CBSA Title, Population , Clinton , Trump , Vote Difference C-T , Obama 2012 , Romney 2012 , Vote Difference O-R ,Clinton B(W) Obama,Trump B(W) Romney, Land Area Sq Mi , Density/Sq Mi 
"Athens, TN Total"," 52,639 "," 3,510 "," 14,691 "," (11,181)"," 4,603 "," 12,958 "," (8,355)"," (1,093)"," 1,733 ", 430 , 122 
"Fernley, NV Total"," 52,585 "," 6,146 "," 16,005 "," (9,859)"," 7,380 "," 13,520 "," (6,140)"," (1,234)"," 2,485 "," 2,001 ", 26 
"McComb, MS Total"," 52,530 "," 10,740 "," 12,298 "," (1,558)"," 12,522 "," 12,379 ", 143 ," (1,782)", (81)," 1,139 ", 46 
"Scottsboro, AL Total"," 52,419 "," 3,673 "," 16,672 "," (12,999)"," 5,817 "," 14,422 "," (8,605)"," (2,144)"," 2,250 "," 1,078 ", 49 
"Platteville, WI Total"," 52,250 "," 10,051 "," 12,350 "," (2,299)"," 13,574 "," 10,255 "," 3,319 "," (3,523)"," 2,095 "," 1,147 ", 46 
"St. Marys, GA Total"," 52,102 "," 5,930 "," 12,310 "," (6,380)"," 6,358 "," 11,318 "," (4,960)", (428), 992 , 613 , 85 
"Greenville, OH Total"," 52,076 "," 4,470 "," 20,012 "," (15,542)"," 6,610 "," 17,745 "," (11,135)"," (2,140)"," 2,267 ", 598 , 87 
"Bartlesville, OK Total"," 52,021 "," 5,048 "," 15,825 "," (10,777)"," 5,532 "," 15,667 "," (10,135)", (484), 158 , 415 , 125 
"Rochelle, IL Total"," 51,659 "," 8,050 "," 14,352 "," (6,302)"," 9,504 "," 13,409 "," (3,905)"," (1,454)", 943 , 759 , 68 
"Jacksonville, TX Total"," 51,542 "," 3,469 "," 12,919 "," (9,450)"," 3,935 "," 12,291 "," (8,356)", (466), 628 ," 1,053 ", 49 
"Galesburg, IL Total"," 51,441 "," 10,083 "," 10,737 ", (654)," 12,993 "," 9,133 "," 3,860 "," (2,910)"," 1,604 ", 716 , 72 
"Natchez, MS-LA Total"," 51,396 "," 11,029 "," 11,351 ", (322)," 11,832 "," 10,992 ", 840 , (803), 359 ," 1,159 ", 44 
"Enterprise, AL Total"," 51,211 "," 4,221 "," 15,875 "," (11,654)"," 4,899 "," 14,638 "," (9,739)", (678)," 1,237 ", 679 , 75 
"Rexburg, ID Total"," 51,092 "," 1,852 "," 13,031 "," (11,179)"," 1,642 "," 18,352 "," (16,710)", 210 ," (5,321)"," 2,333 ", 22 
"Kerrville, TX Total"," 50,955 "," 4,681 "," 17,727 "," (13,046)"," 4,325 "," 17,225 "," (12,900)", 356 , 502 ," 1,103 ", 46 
"Winona, MN Total"," 50,885 "," 11,366 "," 12,122 ", (756)," 14,980 "," 11,480 "," 3,500 "," (3,614)", 642 , 626 , 81 
"Fort Polk South, LA Total"," 50,803 "," 2,665 "," 13,471 "," (10,806)"," 3,173 "," 12,146 "," (8,973)", (508)," 1,325 "," 1,328 ", 38 
"Malone, NY Total"," 50,660 "," 7,297 "," 8,221 ", (924)," 9,065 "," 5,248 "," 3,817 "," (1,768)"," 2,973 "," 1,629 ", 31 
"Mason City, IA Total"," 50,586 "," 11,392 "," 14,074 "," (2,682)"," 15,547 "," 11,827 "," 3,720 "," (4,155)"," 2,247 ", 968 , 52 
"Clovis, NM Total"," 50,398 "," 3,121 "," 9,035 "," (5,914)"," 3,956 "," 9,150 "," (5,194)", (835), (115)," 1,405 ", 36 
"Starkville, MS Total"," 49,800 "," 8,859 "," 8,576 ", 283 ," 8,030 "," 7,728 ", 302 , 829 , 848 , 458 , 109 
"Amsterdam, NY Total"," 49,642 "," 6,595 "," 11,301 "," (4,706)"," 7,881 "," 8,622 ", (741)," (1,286)"," 2,679 ", 403 , 123 
"Ozark, AL Total"," 49,565 "," 4,413 "," 13,808 "," (9,395)"," 5,283 "," 13,105 "," (7,822)", (870), 703 , 561 , 88 
"Paris, TX Total"," 49,440 "," 3,583 "," 14,561 "," (10,978)"," 4,173 "," 12,814 "," (8,641)", (590)," 1,747 ", 907 , 54 
"Gillette, WY Total"," 49,220 "," 1,324 "," 15,778 "," (14,454)"," 2,163 "," 14,952 "," (12,789)", (839), 826 ," 4,803 ", 10 
"Del Rio, TX Total"," 48,988 "," 6,964 "," 5,890 "," 1,074 "," 6,267 "," 5,612 ", 655 , 697 , 278 ," 3,145 ", 16 
"New Castle, IN Total"," 48,985 "," 5,124 "," 13,895 "," (8,771)"," 7,613 "," 10,836 "," (3,223)"," (2,489)"," 3,059 ", 392 , 125 
"Sidney, OH Total"," 48,901 "," 4,243 "," 18,590 "," (14,347)"," 6,065 "," 16,700 "," (10,635)"," (1,822)"," 1,890 ", 408 , 120 
"Ardmore, OK Total"," 48,689 "," 4,002 "," 13,752 "," (9,750)"," 4,907 "," 12,213 "," (7,306)", (905)," 1,539 ", 822 , 59 
"Cortland, NY Total"," 48,494 "," 8,771 "," 9,900 "," (1,129)"," 9,445 "," 7,886 "," 1,559 ", (674)," 2,014 ", 499 , 97 
"Tahlequah, OK Total"," 48,447 "," 5,456 "," 9,994 "," (4,538)"," 6,137 "," 8,151 "," (2,014)", (681)," 1,843 ", 749 , 65 
"Cedar City, UT Total"," 48,368 "," 2,450 "," 11,561 "," (9,111)"," 1,720 "," 11,172 "," (9,452)", 730 , 389 ," 3,297 ", 15 
"Corsicana, TX Total"," 48,323 "," 4,002 "," 11,994 "," (7,992)"," 4,348 "," 10,838 "," (6,490)", (346)," 1,156 "," 1,010 ", 48 
"Norfolk, NE Total"," 48,184 "," 3,510 "," 15,867 "," (12,357)"," 4,612 "," 14,526 "," (9,914)"," (1,102)"," 1,341 "," 1,574 ", 31 
"Pullman, WA Total"," 48,177 "," 8,146 "," 7,403 ", 743 ," 6,910 "," 7,460 ", (550)," 1,236 ", (57)," 2,159 ", 22 
"Greenville, MS Total"," 48,130 "," 11,380 "," 5,244 "," 6,136 "," 12,188 "," 4,870 "," 7,318 ", (808), 374 , 725 , 66 
"Cadillac, MI Total"," 47,906 "," 6,001 "," 15,386 "," (9,385)"," 7,991 "," 12,637 "," (4,646)"," (1,990)"," 2,749 "," 1,130 ", 42 
"Ruston, LA Total"," 47,774 "," 7,107 "," 10,761 "," (3,654)"," 7,947 "," 10,731 "," (2,784)", (840), 30 , 472 , 101 
"Clinton, IA Total"," 47,768 "," 10,095 "," 11,276 "," (1,181)"," 15,123 "," 9,423 "," 5,700 "," (5,028)"," 1,853 ", 695 , 69 
"Kendallville, IN Total"," 47,733 "," 3,904 "," 12,198 "," (8,294)"," 5,229 "," 10,680 "," (5,451)"," (1,325)"," 1,518 ", 411 , 116 
"Gardnerville Ranchos, NV Total"," 47,710 "," 8,454 "," 17,415 "," (8,961)"," 9,288 "," 16,264 "," (6,976)", (834)," 1,151 ", 710 , 67 
"Washington, NC Total"," 47,651 "," 8,764 "," 14,543 "," (5,779)"," 9,399 "," 13,918 "," (4,519)", (635), 625 , 827 , 58 
"Shelbyville, TN Total"," 47,183 "," 3,395 "," 11,486 "," (8,091)"," 4,207 "," 10,026 "," (5,819)", (812)," 1,460 ", 474 , 100 
"Burlington, IA-IL Total"," 47,050 "," 9,367 "," 11,684 "," (2,317)"," 13,850 "," 9,668 "," 4,182 "," (4,483)"," 2,016 ", 795 , 59 
"Newport, OR Total"," 47,038 "," 12,501 "," 10,039 "," 2,462 "," 13,277 "," 8,623 "," 4,654 ", (776)," 1,416 ", 980 , 48 
"Plymouth, IN Total"," 46,857 "," 4,798 "," 12,288 "," (7,490)"," 6,136 "," 11,260 "," (5,124)"," (1,338)"," 1,028 ", 444 , 106 
"Cañon City, CO Total"," 46,692 "," 5,297 "," 15,122 "," (9,825)"," 6,644 "," 13,087 "," (6,443)"," (1,347)"," 2,035 "," 1,533 ", 30 
"Lewistown, PA Total"," 46,500 "," 3,877 "," 14,094 "," (10,217)"," 4,259 "," 11,893 "," (7,634)", (382)," 2,201 ", 411 , 113 
"Nogales, AZ Total"," 46,461 "," 11,690 "," 3,897 "," 7,793 "," 9,486 "," 4,235 "," 5,251 "," 2,204 ", (338)," 1,237 ", 38 
"Red Wing, MN Total"," 46,435 "," 9,446 "," 14,041 "," (4,595)"," 12,212 "," 12,986 ", (774)," (2,766)"," 1,055 ", 757 , 61 
"Bogalusa, LA Total"," 46,371 "," 5,692 "," 12,556 "," (6,864)"," 6,351 "," 11,470 "," (5,119)", (659)," 1,086 ", 670 , 69 
"Madisonville, KY Total"," 46,222 "," 4,310 "," 15,277 "," (10,967)"," 5,789 "," 13,681 "," (7,892)"," (1,479)"," 1,596 ", 542 , 85 
"Mount Sterling, KY Total"," 46,194 "," 5,219 "," 12,948 "," (7,729)"," 6,519 "," 10,157 "," (3,638)"," (1,300)"," 2,791 ", 680 , 68 
"Hillsdale, MI Total"," 45,941 "," 4,799 "," 14,095 "," (9,296)"," 7,106 "," 11,727 "," (4,621)"," (2,307)"," 2,368 ", 598 , 77 
"Shawano, WI Total"," 45,877 "," 7,070 "," 13,036 "," (5,966)"," 10,181 "," 11,196 "," (1,015)"," (3,111)"," 1,840 "," 1,251 ", 37 
"Wapakoneta, OH Total"," 45,876 "," 3,980 "," 18,658 "," (14,678)"," 5,643 "," 16,802 "," (11,159)"," (1,663)"," 1,856 ", 401 , 114 
"Moultrie, GA Total"," 45,844 "," 3,463 "," 9,898 "," (6,435)"," 3,971 "," 9,240 "," (5,269)", (508), 658 , 544 , 84 
"Freeport, IL Total"," 45,749 "," 7,768 "," 11,083 "," (3,315)"," 7,954 "," 8,742 ", (788), (186)," 2,341 ", 565 , 81 
"Bemidji, MN Total"," 45,672 "," 8,688 "," 10,783 "," (2,095)"," 11,818 "," 9,637 "," 2,181 "," (3,130)"," 1,146 "," 2,505 ", 18 
"Huntingdon, PA Total"," 45,668 "," 4,539 "," 14,494 "," (9,955)"," 5,383 "," 11,953 "," (6,570)", (844)," 2,541 ", 875 , 52 
"Bedford, IN Total"," 45,495 "," 4,210 "," 14,035 "," (9,825)"," 5,779 "," 11,622 "," (5,843)"," (1,569)"," 2,413 ", 449 , 101 
"Rockingham, NC Total"," 45,437 "," 8,501 "," 10,383 "," (1,882)"," 9,747 "," 9,236 ", 511 ," (1,246)"," 1,147 ", 474 , 96 
"Grand Rapids, MN Total"," 45,435 "," 9,015 "," 12,920 "," (3,905)"," 12,852 "," 10,500 "," 2,352 "," (3,837)"," 2,420 "," 2,668 ", 17 
"Bellefontaine, OH Total"," 45,386 "," 4,647 "," 15,957 "," (11,310)"," 6,789 "," 13,323 "," (6,534)"," (2,142)"," 2,634 ", 458 , 99 
"Ponca City, OK Total"," 45,366 "," 3,738 "," 12,172 "," (8,434)"," 4,624 "," 11,498 "," (6,874)", (886), 674 , 920 , 49 
"Harrison, AR Total"," 45,135 "," 3,625 "," 15,110 "," (11,485)"," 4,755 "," 13,651 "," (8,896)"," (1,130)"," 1,459 "," 1,411 ", 32 
"Bardstown, KY Total"," 45,126 "," 6,434 "," 13,431 "," (6,997)"," 7,611 "," 10,673 "," (3,062)"," (1,177)"," 2,758 ", 418 , 108 
"Thomasville, GA Total"," 45,063 "," 7,142 "," 11,228 "," (4,086)"," 7,651 "," 11,153 "," (3,502)", (509), 75 , 545 , 83 
"Blackfoot, ID Total"," 44,990 "," 2,924 "," 10,907 "," (7,983)"," 3,822 "," 13,440 "," (9,618)", (898)," (2,533)"," 2,094 ", 21 
"Marion, NC Total"," 44,989 "," 4,667 "," 14,568 "," (9,901)"," 6,006 "," 11,732 "," (5,726)"," (1,339)"," 2,836 ", 441 , 102 
"Lewisburg, PA Total"," 44,954 "," 6,180 "," 10,622 "," (4,442)"," 6,063 "," 9,863 "," (3,800)", 117 , 759 , 316 , 142 
"Durant, OK Total"," 44,884 "," 2,804 "," 10,478 "," (7,674)"," 3,533 "," 9,188 "," (5,655)", (729)," 1,290 ", 904 , 50 
"Rolla, MO Total"," 44,794 "," 4,766 "," 12,709 "," (7,943)"," 5,798 "," 11,893 "," (6,095)"," (1,032)", 816 , 672 , 67 
"Rock Springs, WY Total"," 44,626 "," 3,231 "," 12,154 "," (8,923)"," 4,773 "," 11,427 "," (6,654)"," (1,542)", 727 ," 10,427 ", 4 
"McAlester, OK Total"," 44,610 "," 3,711 "," 12,753 "," (9,042)"," 4,813 "," 10,785 "," (5,972)"," (1,102)"," 1,968 "," 1,305 ", 34 
"Duncan, OK Total"," 44,581 "," 3,086 "," 14,182 "," (11,096)"," 3,939 "," 12,907 "," (8,968)", (853)," 1,275 ", 870 , 51 
"Henderson, NC Total"," 44,568 "," 12,229 "," 7,332 "," 4,897 "," 13,286 "," 7,406 "," 5,880 "," (1,057)", (74), 254 , 176 
"Menomonie, WI Total"," 44,497 "," 9,034 "," 11,486 "," (2,452)"," 11,303 "," 10,210 "," 1,093 "," (2,269)"," 1,276 ", 850 , 52 
"Paragould, AR Total"," 44,196 "," 3,071 "," 10,720 "," (7,649)"," 3,998 "," 9,066 "," (5,068)", (927)," 1,654 ", 578 , 77 
"Seymour, IN Total"," 44,069 "," 3,843 "," 12,859 "," (9,016)"," 5,838 "," 10,419 "," (4,581)"," (1,995)"," 2,440 ", 509 , 87 
"Cornelia, GA Total"," 43,996 "," 2,483 "," 13,190 "," (10,707)"," 2,297 "," 12,148 "," (9,851)", 186 ," 1,042 ", 277 , 159 
"Burley, ID Total"," 43,967 "," 2,203 "," 10,836 "," (8,633)"," 2,483 "," 12,592 "," (10,109)", (280)," (1,756)"," 3,323 ", 13 
"Ottumwa, IA Total"," 43,942 "," 6,571 "," 11,438 "," (4,867)"," 10,134 "," 8,910 "," 1,224 "," (3,563)"," 2,528 ", 934 , 47 
"Blytheville, AR Total"," 43,738 "," 5,670 "," 7,061 "," (1,391)"," 6,445 "," 6,599 ", (154), (775), 462 , 901 , 49 
"Coldwater, MI Total"," 43,664 "," 5,061 "," 11,786 "," (6,725)"," 6,526 "," 9,575 "," (3,049)"," (1,465)"," 2,211 ", 506 , 86 
"Ellensburg, WA Total"," 43,269 "," 7,489 "," 10,100 "," (2,611)"," 6,462 "," 8,372 "," (1,910)"," 1,027 "," 1,728 "," 2,297 ", 19 
"Douglas, GA Total"," 43,108 "," 4,094 "," 9,588 "," (5,494)"," 5,048 "," 9,242 "," (4,194)", (954), 346 , 575 , 75 
"Big Rapids, MI Total"," 43,067 "," 5,827 "," 10,305 "," (4,478)"," 7,515 "," 9,175 "," (1,660)"," (1,688)"," 1,130 ", 555 , 78 
"Muscatine, IA Total"," 43,011 "," 8,368 "," 9,584 "," (1,216)"," 11,213 "," 8,152 "," 3,061 "," (2,845)"," 1,432 ", 437 , 98 
"Poplar Bluff, MO Total"," 42,951 "," 3,036 "," 13,650 "," (10,614)"," 4,363 "," 12,248 "," (7,885)"," (1,327)"," 1,402 ", 695 , 62 
"Aberdeen, SD Total"," 42,784 "," 5,832 "," 11,046 "," (5,214)"," 7,871 "," 9,584 "," (1,713)"," (2,039)"," 1,462 "," 2,839 ", 15 
"Auburn, IN Total"," 42,589 "," 3,942 "," 12,054 "," (8,112)"," 5,419 "," 10,586 "," (5,167)"," (1,477)"," 1,468 ", 363 , 117 
"Lawrenceburg, TN Total"," 42,564 "," 2,821 "," 12,420 "," (9,599)"," 4,237 "," 10,770 "," (6,533)"," (1,416)"," 1,650 ", 617 , 69 
"Willmar, MN Total"," 42,542 "," 7,266 "," 12,785 "," (5,519)"," 9,806 "," 11,239 "," (1,433)"," (2,540)"," 1,546 ", 797 , 53 
"Pahrump, NV Total"," 42,477 "," 5,094 "," 13,324 "," (8,230)"," 6,320 "," 10,566 "," (4,246)"," (1,226)"," 2,758 "," 18,182 ", 2 
"Bradford, PA Total"," 42,412 "," 4,025 "," 11,635 "," (7,610)"," 5,260 "," 9,494 "," (4,234)"," (1,235)"," 2,141 ", 979 , 43 
"Bucyrus, OH Total"," 42,306 "," 4,625 "," 13,611 "," (8,986)"," 7,207 "," 11,561 "," (4,354)"," (2,582)"," 2,050 ", 402 , 105 
"Sedalia, MO Total"," 42,255 "," 4,324 "," 12,810 "," (8,486)"," 5,902 "," 10,840 "," (4,938)"," (1,578)"," 1,970 ", 682 , 62 
"Wilmington, OH Total"," 41,917 "," 4,066 "," 13,838 "," (9,772)"," 5,534 "," 11,740 "," (6,206)"," (1,468)"," 2,098 ", 409 , 103 
"Sandpoint, ID Total"," 41,859 "," 5,819 "," 13,343 "," (7,524)"," 6,500 "," 11,367 "," (4,867)", (681)," 1,976 "," 1,735 ", 24 
"Alma, MI Total"," 41,540 "," 5,666 "," 9,880 "," (4,214)"," 7,606 "," 8,236 ", (630)," (1,940)"," 1,644 ", 568 , 73 
"Cedartown, GA Total"," 41,524 "," 2,867 "," 11,014 "," (8,147)"," 3,608 "," 9,798 "," (6,190)", (741)," 1,216 ", 310 , 134 
"El Campo, TX Total"," 41,486 "," 4,238 "," 10,149 "," (5,911)"," 4,235 "," 9,750 "," (5,515)", 3 , 399 ," 1,086 ", 38 
"Alice, TX Total"," 41,382 "," 6,694 "," 5,420 "," 1,274 "," 6,492 "," 4,595 "," 1,897 ", 202 , 825 , 865 , 48 
"Cullowhee, NC Total"," 41,265 "," 7,713 "," 9,870 "," (2,157)"," 8,052 "," 8,224 ", (172), (339)," 1,646 ", 491 , 84 
"Greenwood, MS Total"," 41,242 "," 9,467 "," 7,011 "," 2,456 "," 10,413 "," 7,068 "," 3,345 ", (946), (57)," 1,221 ", 34 
"Selma, AL Total"," 41,131 "," 12,836 "," 5,789 "," 7,047 "," 14,599 "," 6,284 "," 8,315 "," (1,763)", (495), 979 , 42 
"Stephenville, TX Total"," 41,122 "," 2,160 "," 11,210 "," (9,050)"," 1,965 "," 10,325 "," (8,360)", 195 , 885 ," 1,083 ", 38 
"Garden City, KS Total"," 41,074 "," 3,230 "," 7,203 "," (3,973)"," 2,568 "," 6,168 "," (3,600)", 662 ," 1,035 "," 2,173 ", 19 
"Mountain Home, AR Total"," 41,053 "," 4,169 "," 14,682 "," (10,513)"," 5,172 "," 13,688 "," (8,516)"," (1,003)", 994 , 554 , 74 
"Celina, OH Total"," 40,968 "," 3,384 "," 17,506 "," (14,122)"," 4,609 "," 16,207 "," (11,598)"," (1,225)"," 1,299 ", 462 , 89 
"Montrose, CO Total"," 40,946 "," 5,466 "," 14,382 "," (8,916)"," 5,852 "," 12,789 "," (6,937)", (386)," 1,593 "," 2,241 ", 18 
"Port Clinton, OH Total"," 40,877 "," 8,285 "," 12,653 "," (4,368)"," 11,214 "," 10,323 ", 891 ," (2,929)"," 2,330 ", 255 , 160 
"Alexander City, AL Total"," 40,844 "," 5,519 "," 13,594 "," (8,075)"," 6,252 "," 12,303 "," (6,051)", (733)," 1,291 ", 717 , 57 
"Tifton, GA Total"," 40,764 "," 4,347 "," 9,584 "," (5,237)"," 4,640 "," 9,171 "," (4,531)", (293), 413 , 259 , 157 
"Marshalltown, IA Total"," 40,746 "," 7,652 "," 9,146 "," (1,494)"," 10,085 "," 8,411 "," 1,674 "," (2,433)", 735 , 573 , 71 
"Selinsgrove, PA Total"," 40,444 "," 4,002 "," 11,725 "," (7,723)"," 4,672 "," 10,050 "," (5,378)", (670)," 1,675 ", 329 , 123 
"McMinnville, TN Total"," 40,435 "," 3,535 "," 9,540 "," (6,005)"," 4,748 "," 8,007 "," (3,259)"," (1,213)"," 1,533 ", 433 , 93 
"Warren, PA Total"," 40,396 "," 5,145 "," 12,477 "," (7,332)"," 6,768 "," 9,415 "," (2,647)"," (1,623)"," 3,062 ", 884 , 46 
"Riverton, WY Total"," 40,315 "," 4,200 "," 11,167 "," (6,967)"," 5,333 "," 11,072 "," (5,739)"," (1,133)", 95 ," 9,184 ", 4 
"El Dorado, AR Total"," 40,144 "," 5,855 "," 10,456 "," (4,601)"," 6,182 "," 10,696 "," (4,514)", (327), (240)," 1,039 ", 39 
"West Plains, MO Total"," 40,117 "," 2,881 "," 13,893 "," (11,012)"," 4,393 "," 11,541 "," (7,148)"," (1,512)"," 2,352 ", 927 , 43 
"Jacksonville, IL Total"," 39,920 "," 5,231 "," 11,042 "," (5,811)"," 6,702 "," 9,548 "," (2,846)"," (1,471)"," 1,494 ", 820 , 49 
"Kill Devil Hills, NC Total"," 39,733 "," 7,942 "," 12,435 "," (4,493)"," 8,093 "," 11,031 "," (2,938)", (151)," 1,404 ", 772 , 51 
"Summit Park, UT Total"," 39,633 "," 10,503 "," 7,333 "," 3,170 "," 7,656 "," 8,464 ", (808)," 2,847 "," (1,131)"," 1,872 ", 21 
"Okeechobee, FL Total"," 39,469 "," 3,959 "," 9,356 "," (5,397)"," 4,856 "," 7,325 "," (2,469)", (897)," 2,031 ", 769 , 51 
"Española, NM Total"," 39,465 "," 9,592 "," 3,599 "," 5,993 "," 11,389 "," 3,373 "," 8,016 "," (1,797)", 226 ," 5,861 ", 7 
"Lock Haven, PA Total"," 39,441 "," 4,744 "," 10,022 "," (5,278)"," 5,503 "," 6,941 "," (1,438)", (759)," 3,081 ", 888 , 44 
"Cambridge, OH Total"," 39,258 "," 4,359 "," 11,445 "," (7,086)"," 7,226 "," 8,811 "," (1,585)"," (2,867)"," 2,634 ", 522 , 75 
"Gainesville, TX Total"," 39,229 "," 2,352 "," 13,181 "," (10,829)"," 2,240 "," 11,901 "," (9,661)", 112 ," 1,280 ", 875 , 45 
"Pittsburg, KS Total"," 39,217 "," 5,064 "," 8,394 "," (3,330)"," 6,545 "," 7,480 ", (935)," (1,481)", 914 , 590 , 66 
"Natchitoches, LA Total"," 39,179 "," 7,144 "," 8,968 "," (1,824)"," 7,941 "," 9,077 "," (1,136)", (797), (109)," 1,252 ", 31 
"Clewiston, FL Total"," 39,119 "," 4,615 "," 6,195 "," (1,580)"," 4,751 "," 5,355 ", (604), (136), 840 ," 1,153 ", 34 
"Austin, MN Total"," 39,116 "," 7,437 "," 8,823 "," (1,386)"," 11,129 "," 6,938 "," 4,191 "," (3,692)"," 1,885 ", 711 , 55 
"Hannibal, MO Total"," 39,076 "," 4,132 "," 13,388 "," (9,256)"," 5,770 "," 11,157 "," (5,387)"," (1,638)"," 2,231 ", 907 , 43 
"Sikeston, MO Total"," 39,008 "," 3,575 "," 13,168 "," (9,593)"," 5,122 "," 11,623 "," (6,501)"," (1,547)"," 1,545 ", 420 , 93 
"Urbana, OH Total"," 38,987 "," 4,594 "," 12,631 "," (8,037)"," 7,826 "," 11,852 "," (4,026)"," (3,232)", 779 , 429 , 91 
"Moscow, ID Total"," 38,778 "," 8,093 "," 7,265 ", 828 ," 8,306 "," 7,589 ", 717 , (213), (324)," 1,076 ", 36 
"Houghton, MI Total"," 38,548 "," 6,545 "," 9,289 "," (2,744)"," 7,112 "," 8,814 "," (1,702)", (567), 475 ," 1,549 ", 25 
"Big Spring, TX Total"," 38,521 "," 1,804 "," 7,190 "," (5,386)"," 1,086 "," 4,558 "," (3,472)", 718 ," 2,632 "," 1,801 ", 21 
"Mount Vernon, IL Total"," 38,353 "," 4,425 "," 11,695 "," (7,270)"," 6,080 "," 9,805 "," (3,725)"," (1,655)"," 1,890 ", 571 , 67 
"Defiance, OH Total"," 38,352 "," 5,368 "," 11,688 "," (6,320)"," 7,438 "," 9,935 "," (2,497)"," (2,070)"," 1,753 ", 411 , 93 
"Murray, KY Total"," 38,343 "," 4,749 "," 10,367 "," (5,618)"," 5,314 "," 9,438 "," (4,124)", (565), 929 , 385 , 100 
"Centralia, IL Total"," 38,339 "," 4,369 "," 11,859 "," (7,490)"," 6,210 "," 9,229 "," (3,019)"," (1,841)"," 2,630 ", 572 , 67 
"Scottsbluff, NE Total"," 38,309 "," 3,307 "," 11,049 "," (7,742)"," 4,349 "," 10,389 "," (6,040)"," (1,042)", 660 ," 3,552 ", 11 
"Crawfordsville, IN Total"," 38,227 "," 3,362 "," 11,059 "," (7,697)"," 4,244 "," 9,768 "," (5,524)", (882)," 1,291 ", 505 , 76 
"Ada, OK Total"," 38,194 "," 3,637 "," 10,431 "," (6,794)"," 3,934 "," 8,921 "," (4,987)", (297)," 1,510 ", 720 , 53 
"Sault Ste. Marie, MI Total"," 38,033 "," 5,379 "," 9,122 "," (3,743)"," 7,100 "," 8,278 "," (1,178)"," (1,721)", 844 ," 1,558 ", 24 
"Newberry, SC Total"," 38,012 "," 6,217 "," 10,017 "," (3,800)"," 6,891 "," 9,218 "," (2,327)", (674), 799 , 630 , 60 
"Logansport, IN Total"," 37,979 "," 3,759 "," 9,701 "," (5,942)"," 5,365 "," 8,432 "," (3,067)"," (1,606)"," 1,269 ", 412 , 92 
"Laramie, WY Total"," 37,956 "," 6,890 "," 7,602 ", (712)," 7,445 "," 7,851 ", (406), (555), (249)," 4,274 ", 9 
"Vernal, UT Total"," 37,928 ", 995 ," 9,810 "," (8,815)", 962 ," 10,001 "," (9,039)", 33 , (191)," 4,480 ", 8 
"Vincennes, IN Total"," 37,927 "," 3,772 "," 11,077 "," (7,305)"," 5,228 "," 9,612 "," (4,384)"," (1,456)"," 1,465 ", 516 , 73 
"Brownwood, TX Total"," 37,896 "," 1,621 "," 12,017 "," (10,396)"," 1,904 "," 11,894 "," (9,990)", (283), 123 , 944 , 40 
"Dyersburg, TN Total"," 37,893 "," 2,816 "," 10,180 "," (7,364)"," 3,757 "," 9,921 "," (6,164)", (941), 259 , 512 , 74 
"Astoria, OR Total"," 37,831 "," 9,252 "," 8,138 "," 1,114 "," 9,616 "," 7,101 "," 2,515 ", (364)," 1,037 ", 829 , 46 
"Atmore, AL Total"," 37,789 "," 4,605 "," 9,935 "," (5,330)"," 5,476 "," 9,263 "," (3,787)", (871), 672 , 945 , 40 
"Safford, AZ Total"," 37,666 "," 3,301 "," 8,025 "," (4,724)"," 3,608 "," 8,076 "," (4,468)", (307), (51)," 4,623 ", 8 
"Easton, MD Total"," 37,512 "," 8,653 "," 10,724 "," (2,071)"," 7,983 "," 10,442 "," (2,459)", 670 , 282 , 269 , 140 
"Mayfield, KY Total"," 37,421 "," 3,308 "," 12,671 "," (9,363)"," 4,547 "," 10,699 "," (6,152)"," (1,239)"," 1,972 ", 552 , 68 
"Corinth, MS Total"," 37,388 "," 2,684 "," 11,819 "," (9,135)"," 3,449 "," 11,027 "," (7,578)", (765), 792 , 400 , 93 
"Berlin, NH-VT Total"," 37,375 "," 7,582 "," 9,458 "," (1,876)"," 10,630 "," 7,511 "," 3,119 "," (3,048)"," 1,947 "," 2,458 ", 15 
"Alexandria, MN Total"," 37,075 "," 6,227 "," 13,966 "," (7,739)"," 8,665 "," 11,905 "," (3,240)"," (2,438)"," 2,061 ", 637 , 58 
"Fort Dodge, IA Total"," 37,071 "," 6,305 "," 10,056 "," (3,751)"," 9,458 "," 8,453 "," 1,005 "," (3,153)"," 1,603 ", 716 , 52 
"Batesville, AR Total"," 37,052 "," 2,881 "," 9,936 "," (7,055)"," 3,279 "," 8,724 "," (5,445)", (398)," 1,212 ", 764 , 49 
"Junction City, KS Total"," 37,030 "," 2,569 "," 4,116 "," (1,547)"," 3,158 "," 4,242 "," (1,084)", (589), (126), 385 , 96 
"North Platte, NE Total"," 36,908 "," 2,959 "," 12,821 "," (9,862)"," 4,459 "," 11,138 "," (6,679)"," (1,500)"," 1,683 "," 3,994 ", 9 
"Union City, TN-KY Total"," 36,877 "," 3,200 "," 11,075 "," (7,875)"," 4,342 "," 10,239 "," (5,897)"," (1,142)", 836 , 750 , 49 
"Newton, IA Total"," 36,827 "," 7,109 "," 10,560 "," (3,451)"," 10,240 "," 8,868 "," 1,372 "," (3,131)"," 1,692 ", 730 , 50 
"Bay City, TX Total"," 36,770 "," 3,500 "," 8,366 "," (4,866)"," 3,972 "," 8,026 "," (4,054)", (472), 340 ," 1,100 ", 33 
